"hosname","amprhcode","pdx","diease"
คลินิกเวชกรรมพีเอ็มซี,เขตดอนเมือง,A090,2
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,A090,2
รพ.ทหารอากาศ (สีกัน),เขตดอนเมือง,A090,19
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,A090,1
รพ.ทหารอากาศ (สีกัน),เขตดอนเมือง,A099,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,A099,12
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,B019,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,B029,3
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,B07,18
คลินิกเวชกรรมเดอะเมอริเดียน,เขตดอนเมือง,B084,4
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,B085,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,B088,3
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,B351,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,B968,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,C509,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,C833,4
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,D17,48
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,D568,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,D649,9
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,E059,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,E079,2
คลินิกเวชกรรมเดอะเมอริเดียน,เขตดอนเมือง,E119,9
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,E119,3
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,E119,144
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,E539,9
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,E782,446
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,E785,8
สหคลินิกโกสุมรวมใจ,เขตดอนเมือง,E835,2
รพ.ทหารอากาศ (สีกัน),เขตดอนเมือง,F239,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,F419,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,F99,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,G438,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,G439,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,G443,1
สรณคมน์คลินิกเวชกรรม,เขตดอนเมือง,G510,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,H000,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,H102,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,H113,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,H269,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,H439,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,H532,1
คลินิกเวชกรรมพีเอ็มซี,เขตดอนเมือง,H609,2
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,H612,4
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,H650,1
คลินิกเวชกรรมวัดไผ่เขียว,เขตดอนเมือง,H660,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,H669,1
รพ.ทหารอากาศ (สีกัน),เขตดอนเมือง,H811,1
คลินิกเวชกรรมพีเอ็มซี,เขตดอนเมือง,I10,28
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,I10,70
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,I10,192
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,I250,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,I500,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,I694,1
คลินิกเวชกรรมพีเอ็มซี,เขตดอนเมือง,J00,4
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,J00,2
คลินิกเวชกรรมพีเอ็มซี,เขตดอนเมือง,J039,2
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,J039,3
คลินิกเวชกรรมพีเอ็มซี,เขตดอนเมือง,A084,4
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,J069,17
คลินิกเวชกรรมพีเอ็มซี,เขตดอนเมือง,J189,5
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,J20,5
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,J303,2
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,J40,4
รพ.ทหารอากาศ (สีกัน),เขตดอนเมือง,J441,4
รพ.ทหารอากาศ (สีกัน),เขตดอนเมือง,J449,4
คลินิกเวชกรรมเดอะเมอริเดียน,เขตดอนเมือง,J459,3
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,J459,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,K006,6
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,K021,28
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,K053,24
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,K297,2
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,K30,2
รพ.ทหารอากาศ (สีกัน),เขตดอนเมือง,K30,5
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,K30,7
คลินิกเวชกรรมพีเอ็มซี,เขตดอนเมือง,K37,2
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,K635,3
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,K811,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,L023,3
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,L030,1
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,L039,2
คลินิกเวชกรรมเดอะเมอริเดียน,เขตดอนเมือง,L089,8
คลินิกเวชกรรมพีเอ็มซี,เขตดอนเมือง,L23,2
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,L23,2
รพ.ทหารอากาศ (สีกัน),เขตดอนเมือง,L236,2
คลินิกเวชกรรมวัดไผ่เขียว,เขตดอนเมือง,L239,3
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,L299,1
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,L309,2
รพ.ทหารอากาศ (สีกัน),เขตดอนเมือง,L309,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,L309,13
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,L509,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,L600,7
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,M1099,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,M179,3
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,M4197,1
สหคลินิกโกสุมรวมใจ,เขตดอนเมือง,M5490,2
คลินิกเวชกรรมวัดไผ่เขียว,เขตดอนเมือง,M620,2
รพ.ทหารอากาศ (สีกัน),เขตดอนเมือง,M6266,3
คลินิกเวชกรรมเดอะเมอริเดียน,เขตดอนเมือง,M6269,2
รพ.ทหารอากาศ (สีกัน),เขตดอนเมือง,M759,3
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,M7910,9
สหคลินิกโกสุมรวมใจ,เขตดอนเมือง,M7911,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,M7916,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,M7919,16
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,M8199,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,N189,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,N390,8
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,N63,1
สหคลินิกโกสุมรวมใจ,เขตดอนเมือง,N644,11
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,N926,2
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,R05,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,R05,1
สหคลินิกโกสุมรวมใจ,เขตดอนเมือง,R05,4
รพ.ทหารอากาศ (สีกัน),เขตดอนเมือง,R100,18
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,R103,1
คลินิกเวชกรรมพีเอ็มซี,เขตดอนเมือง,R104,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,R104,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,R202,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,R21,9
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,R229,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,R509,6
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,S202,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,S619,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,S913,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,Z000,2
คลินิกเวชกรรมพีเอ็มซี,เขตดอนเมือง,Z001,3
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,Z012,19
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,Z029,2
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,Z115,1
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,Z251,3
คลินิกเวชกรรมเดอะเมอริเดียน,เขตดอนเมือง,Z309,3
คลินิกเวชกรรมเทพรักษ์,เขตดอนเมือง,Z480,39
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,Z480,5
รพ.ทหารอากาศ (สีกัน),เขตดอนเมือง,Z501,2
รพ.ทหารอากาศ (สีกัน),เขตดอนเมือง,Z719,3
ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,เขตดอนเมือง,Z751,4
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,B019,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,B084,2
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,B24,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,B359,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,D728,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,E039,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,E109,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,E118,72
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,E785,5
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,F411,31
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,G448,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,G470,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,G560,4
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,H109,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,H109,4
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,H605,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,H612,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,H814,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,I10,154
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,I849,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,I872,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,J028,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,J069,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,J208,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,J304,1
สุขสบายคลินิกเวชกรรม,เขตดินแดง,J348,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,J42,2
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,J459,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,J459,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K021,84
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,K040,13
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K040,4
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K047,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K053,10
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,K081,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,K083,9
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K083,12
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K297,3
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,K30,5
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K30,3
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,K37,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K529,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,L024,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,L029,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,L030,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,L031,2
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,L088,2
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,L089,5
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,L209,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,L239,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,L249,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,L259,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,L301,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,L501,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,L600,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,L853,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,M179,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,M179,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,M2556,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,M626,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,M6260,3
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,M6266,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,M7133,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,M7918,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,M7919,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,M7919,5
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,N300,2
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,N390,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,N390,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,N911,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,R042,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,R05,12
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,R21,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,R223,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,R509,7
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,R51,2
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,S913,3
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,U072,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,U7172,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,Z000,5
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,Z012,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,Z012,6
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,Z017,244
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,Z027,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,Z235,7
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,Z424,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,Z480,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,Z480,251
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,Z743,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,A090,2
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,A099,11
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,A099,3
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,A530,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,A059,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,B084,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,B342,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,E108,7
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,E119,80
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,E119,56
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,E782,3
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,E785,40
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,F117,2
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,F200,9
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,F2000,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,F410,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,F510,2
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,F900,7
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,F911,1
เซ็นทรัลเมดิกคลินิกเวชกรรม สาขาดินแดง,เขตดินแดง,G47,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,G959,2
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,H000,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,H000,5
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,H101,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,H103,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,H259,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,H409,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,H545,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,I10,66
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,I259,2
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,I849,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,J00,44
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,J00,32
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,J029,15
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,J029,14
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,J039,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,J209,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,J209,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,J303,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,J304,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,J40,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,K006,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K006,8
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K011,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,K021,19
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,K031,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,K044,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K045,56
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,K051,12
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K051,40
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K052,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,K053,19
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K120,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K121,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K122,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,K279,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,K297,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K299,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,K37,4
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,K409,4
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,K529,2
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,K590,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,K591,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,L010,3
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,L02,3
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,L022,2
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,L029,4
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,L030,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,L089,6
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,L258,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,L303,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,L309,15
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,L309,8
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,L501,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,M5459,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,M654,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,M7104,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,M753,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,M7911,3
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,A059,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,M7916,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,N309,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,N309,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,N413,2
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,N946,2
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,R001,2
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,R100,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,R102,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,R102,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,R11,2
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,R208,1
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,R42,17
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,R42,10
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,R509,3
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,R51,3
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,R53,1
ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,S610,3
ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,S818,2
