"number","hosname","hcode1","ampr_nb","amprhcode","hnamehos","hmain2","ampr_main_nb"
14,ศูนย์บริการสาธารณสุข44 ลำผักชี หนองจอก,"21526","03",เขตหนองจอก,รพ.ลาดกระบังกรุงเทพมหานคร,"11538","11"
3,ศูนย์บริการสาธารณสุข2 วัดมักกะสัน,"13647","37",เขตราชเทวี,รพ.ลาดกระบังกรุงเทพมหานคร,"11538","11"
1,รพ.เลิดสิน,"11469","04",เขตบางรัก,ศูนย์บริการสาธารณสุข55 เดชะสัมพันธ์,"13698","12"
10,คลินิกเวชกรรมพีเอ็มซี,"42047","36",เขตดอนเมือง,ศูนย์บริการสาธารณสุข55 เดชะสัมพันธ์,"13698","12"
1,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข55 เดชะสัมพันธ์,"13698","12"
1,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,ศูนย์บริการสาธารณสุข55 เดชะสัมพันธ์,"13698","12"
4,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,ศูนย์บริการสาธารณสุข13 ไมตรีวานิช,"13658","13"
1,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,ศูนย์บริการสาธารณสุข11 ประดิพัทธ์,"13656","14"
2,ศูนย์บริการสาธารณสุข61 สังวาลย์ ทัสนารมย์,"13704","42",เขตสายไหม,รพ.ทหารผ่านศึก,"11477","14"
1,ศูนย์บริการสาธารณสุข3 บางซื่อ,"13648","29",เขตบางซื่อ,ศูนย์บริการสาธารณสุข11 ประดิพัทธ์,"13656","14"
2,คลินิกเวชกรรมพีเอ็มซี,"42047","36",เขตดอนเมือง,ศูนย์บริการสาธารณสุข11 ประดิพัทธ์,"13656","14"
1,ศูนย์บริการสาธารณสุข56 ทับเจริญ,"13699","27",เขตบึงกุ่ม,รพ.ทหารผ่านศึก,"11477","14"
7,ศูนย์บริการสาธารณสุข24  บางเขน,"13669","30",เขตจตุจักร,รพ.ทหารผ่านศึก,"11477","14"
2,ศูนย์บริการสาธารณสุข52 สามเสนนอก,"13695","26",เขตดินแดง,รพ.ทหารผ่านศึก,"11477","14"
2,ศูนย์บริการสาธารณสุข7 บุญมี ปุรุราชรังสรรค์,"13652","12",เขตยานนาวา,รพ.สมเด็จพระปิ่นเกล้า,"11478","15"
4,ศูนย์บริการสาธารณสุข27 จันทร์ฉิมไพบูลย์,"13672","15",เขตธนบุรี,รพ.สมเด็จพระปิ่นเกล้า,"11478","15"
2,ศูนย์บริการสาธารณสุข46 กันตารัติอุทิศ,"13689","11",เขตลาดกระบัง,รพ.สมเด็จพระปิ่นเกล้า,"11478","15"
1,ศูนย์บริการสาธารณสุข47 คลองขวาง,"13690","22",เขตภาษีเจริญ,รพ.สมเด็จพระปิ่นเกล้า,"11478","15"
5,ศูนย์บริการสาธารณสุข48 นาควัชระ อุทิศ,"13691","23",เขตหนองแขม,รพ.สมเด็จพระปิ่นเกล้า,"11478","15"
1,ศูนย์บริการสาธารณสุข68 สะพานสูง,"23159","44",เขตสะพานสูง,รพ.สมเด็จพระปิ่นเกล้า,"11478","15"
20,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข26 เจ้าคุณพระประยูรวงศ์,"13671","15"
38,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข27 จันทร์ฉิมไพบูลย์,"13672","15"
3,ศูนย์บริการสาธารณสุข26 เจ้าคุณพระประยูรวงศ์,"13671","15",เขตธนบุรี,รพ.สมเด็จพระปิ่นเกล้า,"11478","15"
4,ศูนย์บริการสาธารณสุข8  บุญรอด รุ่งเรือง,"13653","47",เขตบางนา,รพ.สมเด็จพระปิ่นเกล้า,"11478","15"
2,ศูนย์บริการสาธารณสุข15 ลาดพร้าว,"13660","17",เขตห้วยขวาง,รพ.สมเด็จพระปิ่นเกล้า,"11478","15"
1,ศูนย์บริการสาธารณสุข34 โพธิ์ศรี,"13679","09",เขตพระโขนง,รพ.สมเด็จพระปิ่นเกล้า,"11478","15"
1,ศูนย์บริการสาธารณสุข41 คลองเตย,"13686","33",เขตคลองเตย,รพ.สมเด็จพระปิ่นเกล้า,"11478","15"
5,ศูนย์บริการสาธารณสุข42 ถนอม ทองสิมา,"13687","21",เขตบางขุนเทียน,รพ.สมเด็จพระปิ่นเกล้า,"11478","15"
12,ศูนย์บริการสาธารณสุข59 ทุ่งครุ,"13702","49",เขตทุ่งครุ,รพ.สมเด็จพระปิ่นเกล้า,"11478","15"
3,ศูนย์บริการสาธารณสุข62 ตวงรัชฎ์ ศศะนาวิน,"13705","22",เขตภาษีเจริญ,รพ.สมเด็จพระปิ่นเกล้า,"11478","15"
37,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข36 บุคคโล,"13681","15"
3,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,ศูนย์บริการสาธารณสุข36 บุคคโล,"13681","15"
1,ศูนย์บริการสาธารณสุข22 วัดปากบ่อ,"13667","34",เขตสวนหลวง,รพ.สมเด็จพระปิ่นเกล้า,"11478","15"
2,คลินิกเวชกรรมภาษีเจริญ,"41981","22",เขตภาษีเจริญ,ศูนย์บริการสาธารณสุข33 วัดหงส์รัตนาราม,"13678","16"
3,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข33 วัดหงส์รัตนาราม,"13678","16"
2,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,ศูนย์บริการสาธารณสุข33 วัดหงส์รัตนาราม,"13678","16"
4,ศูนย์บริการสาธารณสุข8  บุญรอด รุ่งเรือง,"13653","47",เขตบางนา,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
14,ศูนย์บริการสาธารณสุข15 ลาดพร้าว,"13660","17",เขตห้วยขวาง,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
1,ศูนย์บริการสาธารณสุข16 ลุมพินี,"13661","07",เขตปทุมวัน,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
4,ศูนย์บริการสาธารณสุข26 เจ้าคุณพระประยูรวงศ์,"13671","15",เขตธนบุรี,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
11,ศูนย์บริการสาธารณสุข61 สังวาลย์ ทัสนารมย์,"13704","42",เขตสายไหม,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
1,ศูนย์บริการสาธารณสุข62 ตวงรัชฎ์ ศศะนาวิน,"13705","22",เขตภาษีเจริญ,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
7,ศูนย์บริการสาธารณสุข44 ลำผักชี หนองจอก,"21526","03",เขตหนองจอก,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
3,ศูนย์บริการสาธารณสุข68 สะพานสูง,"23159","44",เขตสะพานสูง,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
2,ศูนย์บริการสาธารณสุข69 คันนายาว,"41797","43",เขตคันนายาว,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
8,ธรรมพิชญาคลินิกเวชกรรม สาขาบึงกุ่ม,"42790","27",เขตบึงกุ่ม,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
1,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข15 ลาดพร้าว,"13660","17"
1,ศูนย์บริการสาธารณสุข23 สี่พระยา,"13668","04",เขตบางรัก,ศูนย์บริการสาธารณสุข15 ลาดพร้าว,"13660","17"
2,ศูนย์บริการสาธารณสุข52 สามเสนนอก,"13695","26",เขตดินแดง,ศูนย์บริการสาธารณสุข15 ลาดพร้าว,"13660","17"
2,ศูนย์บริการสาธารณสุข66 ตำหนักพระแม่กวนอิม,"21748","38",เขตลาดพร้าว,ศูนย์บริการสาธารณสุข15 ลาดพร้าว,"13660","17"
2,คลินิกเวชกรรมบ้านจันทราสุข,"43862","45",เขตวังทองหลาง,ศูนย์บริการสาธารณสุข15 ลาดพร้าว,"13660","17"
4,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข25 ห้วยขวาง,"13670","17"
8,ศูนย์บริการสาธารณสุข7 บุญมี ปุรุราชรังสรรค์,"13652","12",เขตยานนาวา,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
1,ศูนย์บริการสาธารณสุข1 สะพานมอญ,"13646","01",เขตพระนคร,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
4,ศูนย์บริการสาธารณสุข2 วัดมักกะสัน,"13647","37",เขตราชเทวี,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
1,ศูนย์บริการสาธารณสุข12 จันทร์เที่ยง เนตรวิเศษ,"13657","31",เขตบางคอแหลม,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
5,ศูนย์บริการสาธารณสุข21 วัดธาตุทอง,"13666","39",เขตวัฒนา,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
2,ศูนย์บริการสาธารณสุข22 วัดปากบ่อ,"13667","34",เขตสวนหลวง,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
3,ศูนย์บริการสาธารณสุข24  บางเขน,"13669","30",เขตจตุจักร,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
38,ศูนย์บริการสาธารณสุข25 ห้วยขวาง,"13670","17",เขตห้วยขวาง,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
232,ศูนย์บริการสาธารณสุข35 หัวหมาก,"13680","06",เขตบางกะปิ,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
2,ศูนย์บริการสาธารณสุข43  มีนบุรี,"13688","10",เขตมีนบุรี,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
3,ศูนย์บริการสาธารณสุข48 นาควัชระ อุทิศ,"13691","23",เขตหนองแขม,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
2,ศูนย์บริการสาธารณสุข50 บึงกุ่ม,"13693","27",เขตบึงกุ่ม,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
2,ศูนย์บริการสาธารณสุข51 จตุจักร,"13694","30",เขตจตุจักร,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
3,ศูนย์บริการสาธารณสุข56 ทับเจริญ,"13699","27",เขตบึงกุ่ม,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
24,ศูนย์บริการสาธารณสุข66 ตำหนักพระแม่กวนอิม,"21748","38",เขตลาดพร้าว,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
6,ศูนย์บริการสาธารณสุข45 ร่มเกล้า ลาดกระบัง,"21755","11",เขตลาดกระบัง,รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"11629","17"
2,รพ.มงกุฎวัฒนะ,"11722","41",เขตหลักสี่,ศูนย์บริการสาธารณสุข15 ลาดพร้าว,"13660","17"
1,ศูนย์บริการสาธารณสุข53 ทุ่งสองห้อง,"13696","41",เขตหลักสี่,รพ.ตากสิน,"11539","18"
1,ศูนย์บริการสาธารณสุข4 ดินแดง,"13649","26",เขตดินแดง,รพ.ตากสิน,"11539","18"
2,ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,"13664","29",เขตบางซื่อ,รพ.ตากสิน,"11539","18"
525,ศูนย์บริการสาธารณสุข27 จันทร์ฉิมไพบูลย์,"13672","15",เขตธนบุรี,รพ.ตากสิน,"11539","18"
1,ศูนย์บริการสาธารณสุข32 มาริษ ตินตมุสิก,"13677","09",เขตพระโขนง,รพ.ตากสิน,"11539","18"
1131,ศูนย์บริการสาธารณสุข33 วัดหงส์รัตนาราม,"13678","16",เขตบางกอกใหญ่,รพ.ตากสิน,"11539","18"
660,ศูนย์บริการสาธารณสุข36 บุคคโล,"13681","15",เขตธนบุรี,รพ.ตากสิน,"11539","18"
651,ศูนย์บริการสาธารณสุข39 ราษฎร์บูรณะ,"13684","24",เขตราษฎร์บูรณะ,รพ.ตากสิน,"11539","18"
2335,ศูนย์บริการสาธารณสุข40  บางแค,"13685","40",เขตบางแค,รพ.ตากสิน,"11539","18"
2880,ศูนย์บริการสาธารณสุข42 ถนอม ทองสิมา,"13687","21",เขตบางขุนเทียน,รพ.ตากสิน,"11539","18"
493,ศูนย์บริการสาธารณสุข47 คลองขวาง,"13690","22",เขตภาษีเจริญ,รพ.ตากสิน,"11539","18"
453,ศูนย์บริการสาธารณสุข48 นาควัชระ อุทิศ,"13691","23",เขตหนองแขม,รพ.ตากสิน,"11539","18"
3,ศูนย์บริการสาธารณสุข50 บึงกุ่ม,"13693","27",เขตบึงกุ่ม,รพ.ตากสิน,"11539","18"
7,ศูนย์บริการสาธารณสุข52 สามเสนนอก,"13695","26",เขตดินแดง,รพ.ตากสิน,"11539","18"
136,ศูนย์บริการสาธารณสุข54 ทัศน์เอี่ยม,"13697","49",เขตทุ่งครุ,รพ.ตากสิน,"11539","18"
738,ศูนย์บริการสาธารณสุข59 ทุ่งครุ,"13702","49",เขตทุ่งครุ,รพ.ตากสิน,"11539","18"
1028,ศูนย์บริการสาธารณสุข62 ตวงรัชฎ์ ศศะนาวิน,"13705","22",เขตภาษีเจริญ,รพ.ตากสิน,"11539","18"
442,ศูนย์บริการสาธารณสุข65 รักษาศุข บางบอน,"21486","50",เขตบางบอน,รพ.ตากสิน,"11539","18"
1,ศูนย์บริการสาธารณสุข45 ร่มเกล้า ลาดกระบัง,"21755","11",เขตลาดกระบัง,รพ.ตากสิน,"11539","18"
48,ศูนย์บริการสาธารณสุข67 ทวีวัฒนา,"23229","48",เขตทวีวัฒนา,รพ.ตากสิน,"11539","18"
7,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,"13673","18"
2,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,"13673","18"
1,ศูนย์บริการสาธารณสุข23 สี่พระยา,"13668","04",เขตบางรัก,รพ.ตากสิน,"11539","18"
1,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,รพ.ตากสิน,"11539","18"
1,ศูนย์บริการสาธารณสุข13 ไมตรีวานิช,"13658","13",เขตสัมพันธวงศ์,รพ.ตากสิน,"11539","18"
3,ศูนย์บริการสาธารณสุข15 ลาดพร้าว,"13660","17",เขตห้วยขวาง,รพ.ตากสิน,"11539","18"
1,ศูนย์บริการสาธารณสุข16 ลุมพินี,"13661","07",เขตปทุมวัน,รพ.ตากสิน,"11539","18"
668,ศูนย์บริการสาธารณสุข26 เจ้าคุณพระประยูรวงศ์,"13671","15",เขตธนบุรี,รพ.ตากสิน,"11539","18"
429,ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,"13673","18",เขตคลองสาน,รพ.ตากสิน,"11539","18"
546,ศูนย์บริการสาธารณสุข29 ช่วง นุชเนตร,"13674","35",เขตจอมทอง,รพ.ตากสิน,"11539","18"
2,ศูนย์บริการสาธารณสุข43  มีนบุรี,"13688","10",เขตมีนบุรี,รพ.ตากสิน,"11539","18"
618,ศูนย์บริการสาธารณสุข49 วัดชัยพฤกษมาลา,"13692","19",เขตตลิ่งชัน,รพ.ตากสิน,"11539","18"
154,ศูนย์บริการสาธารณสุข58 ล้อม-พิมเสนฟักอุดม,"13701","24",เขตราษฎร์บูรณะ,รพ.ตากสิน,"11539","18"
1,ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,"13703","36",เขตดอนเมือง,รพ.ตากสิน,"11539","18"
6,ศูนย์บริการสาธารณสุข63 สมาคมแต้จิ๋วแห่งประเทศไทย,"14818","28",เขตสาทร,รพ.ตากสิน,"11539","18"
1,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,ศูนย์บริการสาธารณสุข49 วัดชัยพฤกษมาลา,"13692","19"
2,คลินิกเวชกรรมตลาด ม.เศรษฐกิจ,"41976","40",เขตบางแค,ศูนย์บริการสาธารณสุข49 วัดชัยพฤกษมาลา,"13692","19"
4,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข49 วัดชัยพฤกษมาลา,"13692","19"
4,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,รพ.ศิริราช,"13814","20"
2,ศูนย์บริการสาธารณสุข13 ไมตรีวานิช,"13658","13",เขตสัมพันธวงศ์,รพ.ศิริราช,"13814","20"
3,ศูนย์บริการสาธารณสุข15 ลาดพร้าว,"13660","17",เขตห้วยขวาง,รพ.ศิริราช,"13814","20"
4,ศูนย์บริการสาธารณสุข22 วัดปากบ่อ,"13667","34",เขตสวนหลวง,รพ.ศิริราช,"13814","20"
703,ศูนย์บริการสาธารณสุข33 วัดหงส์รัตนาราม,"13678","16",เขตบางกอกใหญ่,รพ.ศิริราช,"13814","20"
1,ศูนย์บริการสาธารณสุข34 โพธิ์ศรี,"13679","09",เขตพระโขนง,รพ.ศิริราช,"13814","20"
1,ศูนย์บริการสาธารณสุข40  บางแค,"13685","40",เขตบางแค,รพ.ศิริราช,"13814","20"
3,ศูนย์บริการสาธารณสุข43  มีนบุรี,"13688","10",เขตมีนบุรี,รพ.ศิริราช,"13814","20"
22,ศูนย์บริการสาธารณสุข47 คลองขวาง,"13690","22",เขตภาษีเจริญ,รพ.ศิริราช,"13814","20"
2100,ศูนย์บริการสาธารณสุข49 วัดชัยพฤกษมาลา,"13692","19",เขตตลิ่งชัน,รพ.ศิริราช,"13814","20"
2,ศูนย์บริการสาธารณสุข62 ตวงรัชฎ์ ศศะนาวิน,"13705","22",เขตภาษีเจริญ,รพ.ศิริราช,"13814","20"
2,ศูนย์บริการสาธารณสุข69 คันนายาว,"41797","43",เขตคันนายาว,รพ.ศิริราช,"13814","20"
2,ศูนย์บริการสาธารณสุข61 สังวาลย์ ทัสนารมย์,"13704","42",เขตสายไหม,รพ.ศิริราช,"13814","20"
1,ศูนย์บริการสาธารณสุข49 วัดชัยพฤกษมาลา,"13692","19",เขตตลิ่งชัน,ศูนย์บริการสาธารณสุข30 วัดเจ้าอาม,"13675","20"
3,ศูนย์บริการสาธารณสุข1 สะพานมอญ,"13646","01",เขตพระนคร,รพ.ศิริราช,"13814","20"
6,ศูนย์บริการสาธารณสุข9  ประชาธิปไตย,"13654","01",เขตพระนคร,รพ.ศิริราช,"13814","20"
1,ศูนย์บริการสาธารณสุข24  บางเขน,"13669","30",เขตจตุจักร,รพ.ศิริราช,"13814","20"
2,ศูนย์บริการสาธารณสุข26 เจ้าคุณพระประยูรวงศ์,"13671","15",เขตธนบุรี,รพ.ศิริราช,"13814","20"
4,ศูนย์บริการสาธารณสุข27 จันทร์ฉิมไพบูลย์,"13672","15",เขตธนบุรี,รพ.ศิริราช,"13814","20"
9,ศูนย์บริการสาธารณสุข31 เอิบ - จิตร ทังสุบุตร,"13676","25",เขตบางพลัด,รพ.ศิริราช,"13814","20"
1,ศูนย์บริการสาธารณสุข35 หัวหมาก,"13680","06",เขตบางกะปิ,รพ.ศิริราช,"13814","20"
4,ศูนย์บริการสาธารณสุข42 ถนอม ทองสิมา,"13687","21",เขตบางขุนเทียน,รพ.ศิริราช,"13814","20"
4,ศูนย์บริการสาธารณสุข46 กันตารัติอุทิศ,"13689","11",เขตลาดกระบัง,รพ.ศิริราช,"13814","20"
11,ศูนย์บริการสาธารณสุข48 นาควัชระ อุทิศ,"13691","23",เขตหนองแขม,รพ.ศิริราช,"13814","20"
1,ศูนย์บริการสาธารณสุข52 สามเสนนอก,"13695","26",เขตดินแดง,รพ.ศิริราช,"13814","20"
6,ศูนย์บริการสาธารณสุข59 ทุ่งครุ,"13702","49",เขตทุ่งครุ,รพ.ศิริราช,"13814","20"
3,ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,"13703","36",เขตดอนเมือง,รพ.ศิริราช,"13814","20"
3,ศูนย์บริการสาธารณสุข65 รักษาศุข บางบอน,"21486","50",เขตบางบอน,รพ.ศิริราช,"13814","20"
1,ศูนย์บริการสาธารณสุข64 คลองสามวา,"22455","46",เขตคลองสามวา,รพ.ศิริราช,"13814","20"
162,ศูนย์บริการสาธารณสุข67 ทวีวัฒนา,"23229","48",เขตทวีวัฒนา,รพ.ศิริราช,"13814","20"
39,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข42 ถนอม ทองสิมา,"13687","21"
2,คลินิกเวชกรรมตลาด ม.เศรษฐกิจ,"41976","40",เขตบางแค,ศูนย์บริการสาธารณสุข42 ถนอม ทองสิมา,"13687","21"
1,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,รพ.ผู้สูงอายุบางขุนเทียน,"25060","21"
1,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,ศูนย์บริการสาธารณสุข47 คลองขวาง,"13690","22"
2,คลินิกเวชกรรมภาษีเจริญ,"41981","22",เขตภาษีเจริญ,ศูนย์บริการสาธารณสุข62 ตวงรัชฎ์ ศศะนาวิน,"13705","22"
8,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข47 คลองขวาง,"13690","22"
18,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข62 ตวงรัชฎ์ ศศะนาวิน,"13705","22"
3,ศูนย์บริการสาธารณสุข42 ถนอม ทองสิมา,"13687","21",เขตบางขุนเทียน,รพ.หลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ,"11540","23"
1,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,รพ.หลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ,"11540","23"
15,ศูนย์บริการสาธารณสุข26 เจ้าคุณพระประยูรวงศ์,"13671","15",เขตธนบุรี,รพ.หลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ,"11540","23"
3,ศูนย์บริการสาธารณสุข59 ทุ่งครุ,"13702","49",เขตทุ่งครุ,รพ.หลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ,"11540","23"
5,ศูนย์บริการสาธารณสุข67 ทวีวัฒนา,"23229","48",เขตทวีวัฒนา,รพ.หลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ,"11540","23"
2,ศูนย์บริการสาธารณสุข40  บางแค,"13685","40",เขตบางแค,รพ.หลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ,"11540","23"
2997,ศูนย์บริการสาธารณสุข48 นาควัชระ อุทิศ,"13691","23",เขตหนองแขม,รพ.หลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ,"11540","23"
2,ศูนย์บริการสาธารณสุข49 วัดชัยพฤกษมาลา,"13692","19",เขตตลิ่งชัน,รพ.หลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ,"11540","23"
1,ศูนย์บริการสาธารณสุข50 บึงกุ่ม,"13693","27",เขตบึงกุ่ม,รพ.หลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ,"11540","23"
3,ศูนย์บริการสาธารณสุข62 ตวงรัชฎ์ ศศะนาวิน,"13705","22",เขตภาษีเจริญ,รพ.หลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ,"11540","23"
364,ศูนย์บริการสาธารณสุข65 รักษาศุข บางบอน,"21486","50",เขตบางบอน,รพ.หลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ,"11540","23"
4,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข48 นาควัชระ อุทิศ,"13691","23"
7,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข39 ราษฎร์บูรณะ,"13684","24"
1,ศูนย์บริการสาธารณสุข15 ลาดพร้าว,"13660","17",เขตห้วยขวาง,รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"11667","24"
1,ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,"13673","18",เขตคลองสาน,รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"11667","24"
3,ศูนย์บริการสาธารณสุข36 บุคคโล,"13681","15",เขตธนบุรี,รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"11667","24"
3,ศูนย์บริการสาธารณสุข48 นาควัชระ อุทิศ,"13691","23",เขตหนองแขม,รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"11667","24"
528,ศูนย์บริการสาธารณสุข59 ทุ่งครุ,"13702","49",เขตทุ่งครุ,รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"11667","24"
1,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,ศูนย์บริการสาธารณสุข39 ราษฎร์บูรณะ,"13684","24"
1,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข58 ล้อม-พิมเสนฟักอุดม,"13701","24"
1,ศูนย์บริการสาธารณสุข7 บุญมี ปุรุราชรังสรรค์,"13652","12",เขตยานนาวา,รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"11667","24"
1,ศูนย์บริการสาธารณสุข26 เจ้าคุณพระประยูรวงศ์,"13671","15",เขตธนบุรี,รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"11667","24"
4,ศูนย์บริการสาธารณสุข27 จันทร์ฉิมไพบูลย์,"13672","15",เขตธนบุรี,รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"11667","24"
1,ศูนย์บริการสาธารณสุข33 วัดหงส์รัตนาราม,"13678","16",เขตบางกอกใหญ่,รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"11667","24"
84,ศูนย์บริการสาธารณสุข39 ราษฎร์บูรณะ,"13684","24",เขตราษฎร์บูรณะ,รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"11667","24"
4,ศูนย์บริการสาธารณสุข41 คลองเตย,"13686","33",เขตคลองเตย,รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"11667","24"
19,ศูนย์บริการสาธารณสุข42 ถนอม ทองสิมา,"13687","21",เขตบางขุนเทียน,รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"11667","24"
2,ศูนย์บริการสาธารณสุข47 คลองขวาง,"13690","22",เขตภาษีเจริญ,รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"11667","24"
